net,length_um
DDATA\[9\]\[9\],5.9µm
_0309_,5.9µm
_0147_,5.84µm
_0288_,5.84µm
DDATA\[11\]\[3\],5.805µm
DDATA\[13\]\[7\],5.805µm
DDATA\[10\]\[2\],5.8µm
DDATA\[15\]\[2\],5.8µm
PRDATA[12],5.75µm
PRDATA[6],5.75µm
rdata[1],5.75µm
DDATA\[10\]\[15\],5.72µm
DDATA\[12\]\[13\],5.72µm
DDATA\[15\]\[7\],5.72µm
DDATA\[13\]\[5\],5.685µm
DDATA\[12\]\[3\],5.68µm
DDATA\[3\]\[1\],5.68µm
DDATA\[4\]\[12\],5.68µm
DDATA\[6\]\[6\],5.68µm
DDATA\[9\]\[1\],5.68µm
DDATA\[9\]\[2\],5.68µm
_0162_,5.68µm
net104,5.68µm
net107,5.68µm
_0124_,5.6µm
net58,5.6µm
burst\[0\],5.56µm
DDATA\[15\]\[10\],5.54µm
PWDATA[3],5.53µm
DDATA\[7\]\[15\],5.5µm
_0027_,5.48µm
net16,5.46µm
DDATA\[0\]\[6\],5.38µm
_0032_,5.38µm
_0368_,5.38µm
_0278_,5.34µm
_0324_,5.34µm
i\[2\],5.34µm
DDATA\[7\]\[8\],5.32µm
PWRITE,5.31µm
DDATA\[10\]\[6\],5.28µm
_0386_,5.28µm
DDATA\[0\]\[5\],5.22µm
DDATA\[13\]\[12\],5.22µm
DDATA\[14\]\[6\],5.22µm
DDATA\[2\]\[9\],5.22µm
DDATA\[7\]\[12\],5.22µm
_0216_,5.22µm
_0262_,5.22µm
_0267_,5.22µm
_0287_,5.22µm
awaddr[3],5.07µm
DDATA\[6\]\[14\],5.04µm
DDATA\[7\]\[10\],5.04µm
_0333_,5.02µm
DDATA\[4\]\[0\],5µm
DDATA\[6\]\[7\],5µm
DDATA\[0\]\[8\],4.92µm
DDATA\[13\]\[1\],4.92µm
_0308_,4.92µm
DDATA\[13\]\[9\],4.885µm
DDATA\[15\]\[5\],4.88µm
_0080_,4.88µm
_0219_,4.88µm
net77,4.88µm
net251,4.88µm
PWDATA[11],4.85µm
PWDATA[13],4.85µm
PWDATA[14],4.85µm
PWDATA[4],4.85µm
DDATA\[9\]\[0\],4.82µm
_0206_,4.82µm
DDATA\[1\]\[3\],4.8µm
DDATA\[3\]\[4\],4.8µm
DDATA\[6\]\[9\],4.8µm
_0037_,4.8µm
_0106_,4.8µm
_0203_,4.8µm
net100,4.8µm
DDATA\[13\]\[14\],4.76µm
_0142_,4.76µm
_0371_,4.76µm
net84,4.76µm
net85,4.76µm
arburst[1],4.73µm
DDATA\[8\]\[7\],4.68µm
_0171_,4.66µm
DDATA\[13\]\[0\],4.64µm
DDATA\[14\]\[15\],4.6µm
_0356_,4.6µm
DDATA\[1\]\[2\],4.58µm
DDATA\[1\]\[8\],4.58µm
DDATA\[5\]\[15\],4.58µm
DDATA\[14\]\[9\],4.555µm
_0078_,4.54µm
DDATA\[9\]\[4\],4.52µm
_0242_,4.46µm
_0283_,4.46µm
_0388_,4.46µm
DDATA\[14\]\[10\],4.425µm
_0081_,4.42µm
_0208_,4.42µm
_0246_,4.42µm
PRDATA[15],4.39µm
_0332_,4.36µm
DDATA\[9\]\[11\],4.345µm
DDATA\[0\]\[11\],4.34µm
DDATA\[0\]\[4\],4.34µm
DDATA\[12\]\[8\],4.34µm
DDATA\[13\]\[4\],4.34µm
DDATA\[3\]\[5\],4.34µm
DDATA\[6\]\[2\],4.34µm
DDATA\[9\]\[14\],4.34µm
_0017_,4.34µm
_0041_,4.34µm
_0048_,4.34µm
_0138_,4.34µm
_0193_,4.34µm
_0257_,4.34µm
_0263_,4.34µm
net71,4.34µm
DDATA\[7\]\[5\],4.32µm
net31,4.24µm
_0043_,4.22µm
_0056_,4.22µm
net9,4.2µm
DDATA\[6\]\[5\],4.16µm
_0359_,4.14µm
DDATA\[13\]\[8\],4.12µm
DDATA\[1\]\[12\],4.12µm
DDATA\[2\]\[13\],4.12µm
DDATA\[3\]\[11\],4.12µm
_0237_,4.12µm
net269,4.12µm
DDATA\[5\]\[8\],4.08µm
_0024_,4.02µm
net45,4.02µm
net59,4.02µm
DDATA\[9\]\[12\],4.005µm
DDATA\[12\]\[4\],4µm
DDATA\[15\]\[4\],4µm
DDATA\[1\]\[4\],4µm
DDATA\[6\]\[10\],4µm
_0022_,4µm
_0039_,4µm
_0087_,4µm
_0172_,4µm
_0226_,4µm
DDATA\[0\]\[7\],3.9µm
DDATA\[11\]\[1\],3.9µm
DDATA\[14\]\[8\],3.9µm
DDATA\[4\]\[1\],3.9µm
DDATA\[12\]\[11\],3.88µm
DDATA\[1\]\[5\],3.88µm
DDATA\[6\]\[3\],3.88µm
_0035_,3.88µm
_0213_,3.88µm
_0293_,3.88µm
_0301_,3.88µm
_0075_,3.845µm
DDATA\[2\]\[14\],3.78µm
_0141_,3.68µm
DDATA\[14\]\[5\],3.66µm
DDATA\[4\]\[7\],3.66µm
DDATA\[5\]\[10\],3.66µm
_0357_,3.66µm
DDATA\[15\]\[13\],3.62µm
DDATA\[6\]\[4\],3.62µm
DDATA\[7\]\[11\],3.62µm
_0020_,3.56µm
DDATA\[8\]\[15\],3.545µm
DDATA\[0\]\[1\],3.54µm
DDATA\[10\]\[3\],3.54µm
DDATA\[8\]\[13\],3.54µm
_0045_,3.54µm
_0091_,3.54µm
_0163_,3.54µm
_0250_,3.54µm
_0321_,3.54µm
net14,3.54µm
DDATA\[10\]\[10\],3.44µm
_0381_,3.44µm
DDATA\[6\]\[8\],3.425µm
DDATA\[0\]\[10\],3.42µm
DDATA\[14\]\[1\],3.42µm
_0136_,3.42µm
_0177_,3.42µm
_0233_,3.42µm
net266,3.42µm
_0201_,3.22µm
_0281_,3.22µm
net259,3.22µm
DDATA\[14\]\[4\],3.2µm
DDATA\[4\]\[9\],3.2µm
burst\[1\],3.2µm
DDATA\[4\]\[14\],3.1µm
_0018_,3.1µm
_0030_,3.1µm
_0365_,3.1µm
DDATA\[5\]\[7\],3.085µm
DDATA\[0\]\[9\],3.08µm
DDATA\[11\]\[13\],3.08µm
DDATA\[14\]\[7\],3.08µm
DDATA\[6\]\[15\],3.08µm
_0047_,3.08µm
_0150_,3.08µm
_0178_,3.08µm
_0186_,3.08µm
_0212_,3.08µm
_0217_,3.08µm
_0220_,3.08µm
_0232_,3.08µm
_0336_,3.08µm
net250,3.08µm
DDATA\[2\]\[15\],2.98µm
DDATA\[3\]\[12\],2.98µm
DDATA\[8\]\[11\],2.98µm
DDATA\[11\]\[2\],2.96µm
DDATA\[13\]\[15\],2.96µm
DDATA\[1\]\[10\],2.96µm
DDATA\[1\]\[9\],2.96µm
DDATA\[5\]\[1\],2.96µm
DDATA\[7\]\[0\],2.96µm
DDATA\[8\]\[0\],2.96µm
DDATA\[8\]\[1\],2.96µm
net75,2.96µm
DDATA\[5\]\[4\],2.86µm
_0231_,2.86µm
_0251_,2.86µm
_0082_,2.84µm
DDATA\[2\]\[4\],2.74µm
DDATA\[4\]\[10\],2.74µm
DDATA\[4\]\[15\],2.74µm
DDATA\[14\]\[14\],2.68µm
DDATA\[7\]\[1\],2.68µm
DDATA\[1\]\[11\],2.64µm
DDATA\[1\]\[13\],2.64µm
DDATA\[1\]\[7\],2.64µm
DDATA\[2\]\[7\],2.64µm
DDATA\[3\]\[9\],2.64µm
DDATA\[5\]\[6\],2.64µm
DDATA\[5\]\[9\],2.64µm
DDATA\[8\]\[2\],2.64µm
_0019_,2.64µm
_0038_,2.64µm
DDATA\[11\]\[8\],2.62µm
DDATA\[4\]\[8\],2.62µm
_0079_,2.62µm
_0243_,2.62µm
DDATA\[10\]\[7\],2.52µm
DDATA\[11\]\[14\],2.52µm
DDATA\[2\]\[1\],2.52µm
DDATA\[3\]\[15\],2.52µm
DDATA\[14\]\[12\],2.505µm
DDATA\[0\]\[13\],2.5µm
DDATA\[11\]\[4\],2.5µm
DDATA\[11\]\[9\],2.5µm
DDATA\[15\]\[9\],2.5µm
DDATA\[1\]\[14\],2.5µm
DDATA\[2\]\[11\],2.5µm
DDATA\[6\]\[0\],2.5µm
DDATA\[7\]\[14\],2.5µm
_0053_,2.5µm
_0184_,2.5µm
_0260_,2.5µm
_0266_,2.5µm
_0282_,2.5µm
_0290_,2.5µm
_0347_,2.5µm
_0348_,2.5µm
_0385_,2.5µm
net68,2.5µm
net73,2.5µm
net78,2.5µm
net105,2.5µm
_0191_,2.3µm
DDATA\[7\]\[2\],2.28µm
_0360_,2.28µm
net18,2.28µm
DDATA\[12\]\[1\],2.18µm
DDATA\[2\]\[12\],2.18µm
DDATA\[3\]\[14\],2.18µm
DDATA\[3\]\[7\],2.18µm
DDATA\[5\]\[11\],2.18µm
DDATA\[5\]\[5\],2.18µm
DDATA\[8\]\[8\],2.18µm
DDATA\[9\]\[15\],2.18µm
DDATA\[9\]\[5\],2.18µm
_0353_,2.18µm
DDATA\[13\]\[10\],2.16µm
DDATA\[4\]\[5\],2.16µm
DDATA\[9\]\[7\],2.16µm
_0046_,2.16µm
_0058_,2.16µm
_0252_,2.16µm
_0258_,2.16µm
_0269_,2.16µm
